listing_id,property_type,country,city,neighborhood,surface_m2,num_rooms,num_bathrooms,floor,year_built,price,listing_date,condition,heating_type,parking,energy_rating
1524,apartment,Switzerland,Basel,city center,,8,4,2,2005,409328 EUR,2021-02-04,New,electric,,C
1935,duplex,Netherlands,Rotterdam,SUBURBS,28,1,1,14,1973,966324,2023-08-01,Good,CENTRAL,,
2987,VILLA,Italy,Naples,Historic,210,1,3,13,1963,348255,2019-03-27,Good,Central,yes,b
2742,VILLA,France,Strasbourg,,101,7,2,11,1996,1143805,2023-06-28,Old,Central,0,A
1900,apartment,Portugal,Porto,SUBURBS,305,,2,7,1952,1360511,2021-01-08,Old,Gas,no,F
2094,HOUSE,France,Nantes,Suburbs,375,7,4,0,1961,173466,2019-05-21,,Gas,yes,c
1253,HOUSE,Germany,Frankfurt,,41,6,,8,2006,825258,01.02.2020,Old,CENTRAL,yes,A
1757,Villa ,France,Paris,City Center,267,3,2,,1958,440717,2019-05-21,Old,Electric,1,C
1201,apartment,Switzerland,Lausanne,city center,300,7,3,12,1960,1102399,2023-11-18,Old,CENTRAL,No,B
1540,VILLA,Netherlands,Utrecht,Residential,229,6,3,12,1977,346393,06.09.2020,Old,Central,YES,G
1831,apartment,,Munich,Residential,149,6,3,3,2002,1090141,2018-08-09,Good,,no,C
2303,house,Spain,Barcelona,SUBURBS,289,3,1,1,1992,573298 EUR,2022-06-13,Old,Central,0,C
1846,Villa ,Netherlands,Amsterdam,SUBURBS,254,3,4,0,2007,1118263,2021-02-04,,electric,,a
1278,APT,Switzerland,Lucerne,Historic,,7,1,8,1970,1111860,2020-01-23,Good,Central,,D
2945,duplex,Netherlands,Amsterdam,SUBURBS,166,1,4,20,1980,442409 EUR,2019-11-25,Renovated,CENTRAL,no,C
1109,APT,Switzerland,Zurich,Suburbs,123,3,3,8,1970,245748,2020-08-17,New,Central,YES,
1208, studio,Italy,Turin,Residential,371,1,3,15,1960,331200 EUR,25/07/2018,Good,Solar,YES,B
2930,apartment,Germany,Düsseldorf,city center,399,5,4,19,2001,1414201,2021-06-06,New,electric,,E
1150,APT,Switzerland,Basel,SUBURBS,96,1,1,16,1970,1830158,2024-03-04,Good,Electric,1,
2025,VILLA,Spain,Madrid,City Center,193,5,2,15,,1890065,2022-09-20,Old,Solar,Yes,B
1462,APT,Belgium,Ghent,City Center,150,4,1,3,1969,1582301,2024-08-22,,electric,YES,C
1914,apartment,Spain,Bilbao,City Center,147,3,2,17,1960,100611,2024-02-07,Renovated,Central,1,a
1104,house,,Amsterdam,SUBURBS,89,4,4,16,2021,1419586 EUR,2021-04-11,Renovated,Gas,1,b
1267,duplex,Netherlands,Rotterdam,City Center,338,2,1,15,2016,1712478,14/01/2024,Old,electric,1,A
1630,VILLA,Spain,Alicante,Suburbs,351,6,1,4,1953,791001,2019-08-29,Old,,1,a
2921,duplex,,Seville,Suburbs,,6,1,0,1985,719872,2020/09/27,Good,Solar,no,a
1018, studio,Switzerland,Bern,,387,,4,7,2001,359479,2023-10-23,New,electric,yes,
1755,Villa ,Belgium,Namur,Residential,241,,3,20,1984,1917080,2022/07/26,Good,electric,1,
2328,VILLA,Italy,Florence,Industrial,199,8,2,10,2005,1433982,2020-02-14,,Solar,,E
2216,APT,Portugal,Lisbon,Historic,374,1,4,14,1983,376382,2023-04-07,Renovated,Central,1,A
1909,house,France,Lyon,Suburbs,9999,6,2,14,1950,1341189,2021-04-04,Good,,1,E
1214,apartment,Netherlands,Amsterdam,Residential,75,7,2,9,1970,1331548,2024/05/11,Old,Electric,no,
1066,Penthouse,Netherlands,Groningen,Historic,383,2,3,5,1988,288,2023-07-17,Old,Gas,No,B
1311,APT,Belgium,Brussels,,377,2,2,8,2021,1891885,2023-01-29,Renovated,CENTRAL,YES,
2238,duplex,,The Hague,City Center,230,4,4,20,2008,131112,2021-03-15,Good,gas,NO,G
1026,house,Italy,Venice,Suburbs,,4,4,14,2012,1712900,2024-03-04,Renovated,,no,D
2141,apartment,Switzerland,Zurich,Residential,185,2,1,16,,1072714,2023/08/12,Old,,0,
1134,HOUSE,Germany,Munich,Historic,308,2,3,,2018,1891076 EUR,2022-07-04,Renovated,Solar,Yes,
1840,VILLA,Belgium,Ghent,Residential,92,5,,6,1952,1383625,2020-07-19,Renovated,gas,,
2916,Penthouse,Spain,Barcelona,Industrial,358,4,4,19,1952,303,2018-08-29,New,CENTRAL,YES,F
2206,HOUSE,,Lucerne,Industrial,371,8,4,3,1999,1895832,2024-07-19,,CENTRAL,no,A
2912,Villa ,Spain,Barcelona,Residential,156,8,3,20,1977,1646378,2023-08-21,New,Gas,Yes,D
2271, studio,Switzerland,Geneva,,25,1,4,1,1983,1586039,2019-05-16,Good,electric,Yes,A
2174, studio,Italy,Milan,Suburbs,221,5,1,20,,898340,2018-09-25,Renovated,electric,,D
1295,HOUSE,Belgium,Namur,city center,361,8,2,6,1972,377814 EUR,06-22-2020,,Central,No,F
2851,Penthouse,,Florence,Residential,318,3,2,11,1972,1503402 EUR,2020-01-04,Good,CENTRAL,No,E
2507, studio,Italy,Naples,City Center,308,6,2,,1999,1987102,2020-07-30,Old,Central,1,C
1183,Penthouse,Spain,Alicante,city center,153,,3,17,2021,1748726,2019-12-16,Renovated,electric,1,B
2389,apartment,Spain,Madrid,SUBURBS,86,2,2,2,1988,1531474,2023-12-23,Good,Gas,No,E
2401,Penthouse,Belgium,Brussels,city center,127,7,2,2,1990,1885719 EUR,2018-04-21,New,electric,No,D
2573,Villa ,Switzerland,Lausanne,City Center,,,1,20,2020,308631,2021-08-02,,CENTRAL,No,E
1077,duplex,Netherlands,Utrecht,Residential,265,4,2,8,2018,1228637,2018-08-04,Old,Electric,yes,A
1339,apartment,Netherlands,Groningen,City Center,286,7,3,7,,1826151,2020-06-30,Renovated,Gas,1,c
2452,Villa ,Switzerland,Lausanne,Industrial,159,5,3,7,1952,1476442,2018-12-22,New,Solar,YES,B
2696,VILLA,Netherlands,Amsterdam,Residential,318,6,1,12,1987,1520607,2020-09-09,Good,Solar,Yes,E
1474,house,Netherlands,Amsterdam,city center,101,6,1,17,2010,1490295,2021-07-27,Renovated,,,b
1555, studio,Italy,Turin,City Center,270,8,1,16,,1897020,2020-12-25,Good,,yes,F
2170,HOUSE,France,Nantes,Industrial,32,5,4,16,1961,1240890,2024-09-20,Old,gas,0,a
2418,house,France,Toulouse,Historic,110,4,4,19,2002,660832 EUR,2019-07-05,Good,,NO,A
1444, studio,Switzerland,Bern,Historic,311,3,2,18,2002,1446499,2020-03-22,New,Gas,No,G
2063,Villa ,Italy,Naples,city center,184,6,1,8,2006,196255,2020-11-06,Good,Electric,yes,D
2190,house,Italy,Bologna,SUBURBS,316,6,3,18,1958,368,2023-02-11,Good,CENTRAL,,c
1045,house,France,Toulouse,city center,349,1,1,12,,943960 EUR,2024-07-25,,,1,a
2600,APT,Italy,Venice,City Center,192,7,1,15,2001,1058203,2018-01-13,Old,electric,yes,F
1505,Penthouse,Switzerland,Lucerne,Suburbs,182,7,2,,1976,1727283,2019-02-14,New,gas,no,D
2240,duplex,Germany,Düsseldorf,Industrial,36,8,4,,1953,1214251,2019-04-26,Old,Electric,,C
2269,house,Germany,Düsseldorf,Suburbs,389,,4,5,2002,1341197,2022-10-16,Renovated,Electric,0,C
1819, studio,Germany,Cologne,,385,8,2,2,2001,1949551,2023-06-17,Renovated,Solar,Yes,A
1537,VILLA,Portugal,Coimbra,city center,28,3,,1,,350912,2018-05-25,Old,gas,no,c
2954,Villa ,Italy,Venice,Residential,244,3,3,10,1988,1788670,2023-06-07,New,CENTRAL,NO,D
2745,APT,Italy,Genoa,City Center,158,5,3,5,1964,1363369,2022-07-29,Good,gas,No,D
1038,apartment,Switzerland,Basel,city center,258,5,2,14,1959,774703,2019-03-13,,,no,A
2409,APT,Germany,Frankfurt,Residential,66,8,3,13,2022,1572340,2023-09-08,Good,Electric,1,E
1572,HOUSE,France,Strasbourg,Residential,263,5,1,7,1960,1568922,2024-03-13,Good,gas,No,A
2160,APT,Portugal,Faro,SUBURBS,,3,4,5,2011,1148918,05-15-2023,Renovated,gas,no,A
1817,Villa ,Netherlands,The Hague,Suburbs,306,7,4,7,1976,1776192,2018-02-18,Good,Gas,,A
2131,duplex,Portugal,Coimbra,City Center,79,8,,14,2008,1865440,2024-08-01,Good,Electric,1,D
2143,Penthouse,Italy,Rome,SUBURBS,279,8,,17,,503335,2020-07-27,Renovated,CENTRAL,0,B
1967,Villa ,Spain,Bilbao,City Center,33,7,4,,2011,266209,2020-04-22,Good,Gas,yes,E
1548,HOUSE,Germany,Munich,Industrial,,7,2,1,1976,1553614,2020-12-22,Good,Central,No,C
1816,HOUSE,Portugal,Coimbra,City Center,61,4,,2,2018,626931,2024-06-04,New,electric,1,b
1506,apartment,,Braga,Residential,160,6,1,7,1968,421947,2021-04-15,Good,gas,yes,C
2915,apartment,Spain,Zaragoza,City Center,328,2,2,,1998,187916,2024-01-30,New,Central,No,G
2995, studio,Netherlands,Utrecht,Suburbs,380,5,3,17,1974,775800,2018-12-15,Old,electric,Yes,B
2313, studio,Switzerland,Lausanne,Suburbs,73,4,4,12,1974,755594,2024-04-08,Renovated,Electric,1,E
2415,Villa ,,Amsterdam,Industrial,370,8,,16,,363267,2019-10-04,,,NO,C
2139,VILLA,France,Strasbourg,Residential,237,8,4,5,1953,138171 EUR,2024-12-20,,gas,,D
2601,Villa ,Belgium,Brussels,SUBURBS,9999,2,1,10,2019,1740145,2022/01/05,Renovated,Electric,NO,A
1735,apartment,Netherlands,Rotterdam,Industrial,205,7,1,1,1954,904709,2018-08-29,Old,electric,no,A
1304,Penthouse,Spain,Barcelona,city center,312,5,1,4,2016,296923,05-07-2020,New,CENTRAL,No,A
1420,HOUSE,Portugal,Coimbra,Residential,168,4,1,11,2010,571621,2024-04-28,,Gas,YES,E
1435, studio,Belgium,Namur,Industrial,,5,3,16,2019,268896 EUR,2020-08-02,New,CENTRAL,yes,A
1153,HOUSE,Italy,Bologna,city center,232,1,1,14,,1430883,2023-09-14,,Gas,yes,B
1599,apartment,Portugal,Braga,Suburbs,190,6,1,7,1989,1070306,2019-11-07,,gas,No,B
1557,APT,Italy,Venice,Historic,378,,3,6,1983,352114,2022-04-14,Renovated,Electric,no,
2034,APT,Germany,Berlin,Historic,358,6,2,5,1973,526183,07/11/2021,Good,gas,,C
2592,Penthouse,France,Paris,Industrial,321,1,3,,1986,1600715 EUR,2021-05-25,Good,electric,No,C
1413,VILLA,Belgium,Brussels,Suburbs,63,6,,4,1977,882418,2021-04-19,Renovated,electric,0,G
2285,duplex,Italy,Bologna,city center,234,5,4,0,2004,1947315,2018-12-02,New,CENTRAL,Yes,D
2795,apartment,Netherlands,Eindhoven,Historic,391,5,,9,1986,596123,2018-09-19,Old,Gas,0,
1269,Penthouse,France,Marseille,City Center,198,1,3,3,1998,947891,2018-09-26,Good,Central,0,F
2464,VILLA,Portugal,Coimbra,city center,,4,1,8,1970,1789501,2023-11-05,New,Electric,no,F
2767,apartment,Germany,Frankfurt,City Center,193,4,1,15,2005,509934,16.11.2021,New,Electric,Yes,F
2244,duplex,Germany,Munich,,,8,3,10,1987,379,2020-04-09,Good,,Yes,D
1482,APT,Switzerland,Lausanne,Suburbs,345,6,4,17,2010,76355,13/05/2021,New,electric,0,F
1878,house,Switzerland,Lausanne,SUBURBS,346,3,3,19,2009,316023,2021-08-09,New,Gas,Yes,E
2453,APT,France,Lyon,city center,9999,4,3,13,2010,1278127,2024-11-03,Good,Gas,Yes,B
2984,APT,Germany,Stuttgart,,199,7,2,18,,408817,08-12-2020,Good,electric,0,C
1574, studio,Switzerland,Bern,,22,7,2,1,1998,683920,2019-02-20,,Central,1,
1284,Penthouse,Belgium,Bruges,SUBURBS,243,3,3,4,,1215334 EUR,2023-03-29,Old,Central,1,F
2804, studio,Spain,Bilbao,Suburbs,190,4,3,5,1983,769011,2023-07-27,Good,,1,F
1587, studio,Italy,Florence,SUBURBS,214,8,1,7,2022,1403663,2022-10-04,Good,,NO,E
2596,house,Netherlands,Rotterdam,,,3,3,12,1987,548287,2024-07-20,Old,Gas,no,c
1407, studio,Netherlands,The Hague,City Center,120,1,4,1,2013,625490,2024-06-16,Renovated,Gas,,A
1260,Villa ,Germany,Berlin,Suburbs,285,5,3,13,2012,763688,2023-11-24,New,gas,1,B
2520,apartment,Netherlands,Groningen,SUBURBS,110,8,3,13,2015,158256,2024-06-25,Renovated,Gas,no,F
2876, studio,France,Strasbourg,Industrial,275,2,2,0,1968,970044,2024-02-26,New,gas,yes,F
2686,HOUSE,Italy,Venice,Suburbs,400,,1,11,1969,1079469,2020-09-13,Renovated,CENTRAL,NO,b
2055,Penthouse,France,Nice,Residential,273,4,4,,1962,1191837,2021-03-28,Renovated,,,G
2089,Penthouse,France,Marseille,Suburbs,283,6,2,13,1984,1669936,2018-08-18,,Central,0,E
2577,APT,Portugal,Braga,Industrial,329,8,3,4,2010,1714414,2023-08-12,New,Solar,yes,F
1051,house,Netherlands,Rotterdam,Residential,373,6,1,3,2005,560271,2023-02-17,Renovated,Gas,YES,B
1752,VILLA,Netherlands,Amsterdam,Residential,377,1,3,16,1989,233581,2023-01-04,Good,Central,1,E
2828,duplex,Spain,Alicante,Residential,153,8,4,5,1993,1832119 EUR,2018-09-30,New,Solar,NO,c
2801,house,Spain,Malaga,City Center,187,5,2,13,2009,1134792,2020-03-19,Renovated,gas,no,C
1856,duplex,Netherlands,Utrecht,city center,223,,1,14,1999,1480761,2019-08-05,New,gas,no,C
1419,apartment,Spain,Bilbao,Industrial,,1,2,,1986,308863,2023-08-19,Good,Electric,no,C
1256,Villa ,,Basel,Residential,392,7,4,18,1967,332,2018-12-29,Old,Gas,0,
2279,duplex,,Groningen,city center,232,6,4,6,,206209,2023-03-31,Old,Solar,yes,F
2373,apartment,Portugal,Braga,Suburbs,339,6,3,1,2010,1561506 EUR,2022-01-04,Good,Electric,no,c
1382,HOUSE,Belgium,Antwerp,Industrial,185,3,2,11,1999,719653,2022-04-19,,electric,0,a
1280,VILLA,,Paris,Industrial,351,4,1,6,2009,274,2019-04-26,Old,electric,No,D
2528,duplex,Netherlands,The Hague,City Center,57,5,1,20,2018,744766 EUR,2018-01-08,New,Central,,G
2720, studio,Switzerland,Lausanne,SUBURBS,245,8,4,5,1992,1518779,2021-05-16,,Solar,0,F
1264,VILLA,,Porto,Industrial,136,7,1,3,1990,1027066,2020/08/20,Good,gas,no,G
1060,house,Italy,Venice,City Center,52,2,4,0,2018,1375305,2018-12-17,,Central,,
1582,duplex,,Braga,city center,,8,3,8,1968,1320840,2023-07-21,,,0,b
1308,Villa ,Belgium,Brussels,city center,177,7,2,19,,732184,2019-05-11,,Solar,1,a
2699,HOUSE,,Zurich,Suburbs,331,3,3,15,2009,155645,2022-08-23,,Gas,0,c
1685,APT,Netherlands,The Hague,city center,108,4,3,3,2011,337014,2018-06-08,Old,Solar,No,
2352,Villa ,Spain,Madrid,city center,91,2,4,18,2020,1005828,2020-04-03,New,Gas,,G
2167,APT,France,Nice,Residential,,8,4,5,,803770,2024/09/01,New,Electric,yes,D
1690,HOUSE,Netherlands,Rotterdam,Suburbs,182,3,1,19,1982,1326849,2023-07-12,Good,electric,1,c
2065,duplex,France,Nantes,SUBURBS,205,8,2,1,1985,1229445,2019-01-16,New,Solar,YES,b
2040,Villa ,,Milan,Residential,257,5,2,15,1978,449,2024-06-17,Renovated,Gas,1,E
1498,Penthouse,,Ghent,Historic,32,6,4,10,1998,1220353,2023-05-19,New,gas,1,D
2177,HOUSE,Spain,Barcelona,,246,2,4,1,1956,633075,2022-09-29,Good,,,F
2796,Penthouse,France,Strasbourg,SUBURBS,,4,1,12,1982,1723206,2024-10-31,New,CENTRAL,0,
2424, studio,Netherlands,Groningen,Industrial,84,6,4,8,2018,1342962 EUR,2018-06-28,Renovated,gas,No,E
2623, studio,Belgium,Liège,Suburbs,224,7,2,11,2011,803875,2018-02-25,Old,Central,Yes,D
1637,Penthouse,Italy,Turin,Industrial,119,5,3,12,,1577672,2024-02-08,Good,Electric,YES,
1412,Penthouse,Germany,Frankfurt,,217,8,2,6,2001,240,2020-09-12,New,electric,0,
2281,house,Belgium,Ghent,,305,4,4,11,2015,1337730,04.08.2019,Renovated,Electric,Yes,E
1881,Penthouse,Germany,Hamburg,Residential,24,2,2,20,1995,900887,02-28-2018,Renovated,Electric,no,b
1809,Penthouse,Switzerland,Geneva,Industrial,346,4,3,9,1968,969308 EUR,2024-05-28,,Solar,Yes,F
2178,HOUSE,Germany,Frankfurt,Suburbs,265,1,2,11,1979,561292,2021-11-26,New,electric,1,D
2602, studio,Belgium,Bruges,,79,7,4,16,,1457434,2023/05/01,New,Central,Yes,E
2543,APT,Germany,Frankfurt,,146,5,1,1,1965,602998 EUR,08-23-2020,Good,Electric,yes,
2375,HOUSE,,Stuttgart,Historic,188,7,3,3,2020,971163,2021-05-30,,Electric,No,c
2958,Villa ,Portugal,Lisbon,Industrial,90,4,4,9,1985,1249782 EUR,2020-10-28,New,gas,yes,G
2635, studio,Spain,Barcelona,Suburbs,263,2,2,,1987,941901,2023-06-04,Renovated,electric,,A
1547,HOUSE,Germany,Stuttgart,Suburbs,,4,1,0,1959,1566465,2021-09-17,New,Central,yes,D
2185,APT,Germany,Berlin,SUBURBS,129,2,4,3,1986,1058084,2022-11-23,Good,CENTRAL,No,G
2031,VILLA,Netherlands,Eindhoven,city center,74,3,3,19,1993,20,2022-06-24,Renovated,Electric,1,B
1888,house,Belgium,Namur,City Center,,4,4,2,1984,1419098,2021-01-02,Renovated,Solar,NO,b
2677,duplex,Netherlands,Amsterdam,Residential,,6,1,,1985,225029 EUR,2020-09-19,,CENTRAL,,A
2888,duplex,Switzerland,Bern,city center,179,5,1,7,1985,1694328,23.08.2019,Renovated,,Yes,C
1869,duplex,Germany,Cologne,Industrial,212,4,1,,2006,1231118,2021-08-24,Renovated,CENTRAL,No,b
1078,house,Portugal,Setúbal,Historic,,4,3,9,1991,1404546 EUR,2022-09-08,New,gas,1,C
1797,APT,,Madrid,Industrial,342,6,2,20,1950,1935033 EUR,2022-08-06,New,CENTRAL,,b
1496,HOUSE,Germany,Frankfurt,Industrial,138,4,3,9,2014,721121,03-28-2021,,electric,,E
2541,APT,Belgium,Ghent,Historic,192,8,4,19,1979,857290,2024-01-27,New,Central,0,A
1392,APT,Portugal,Porto,SUBURBS,57,4,4,2,2009,781775,2022-11-10,Renovated,CENTRAL,1,D
2755,duplex,France,Toulouse,SUBURBS,213,2,4,1,1981,1892318 EUR,2022-12-21,,Gas,no,A
2643,HOUSE,,Setúbal,Suburbs,85,3,1,10,1980,267409,2018-07-01,,,0,E
2365,house,Netherlands,Utrecht,Industrial,83,3,3,1,1968,1816543 EUR,2019-04-04,,Solar,YES,F
1335,duplex,,Setúbal,Suburbs,247,1,1,,1956,1658755 EUR,2018-09-16,Good,Gas,Yes,G
2749,APT,Italy,Naples,SUBURBS,385,8,4,6,,1861920,2020-08-12,Good,Central,1,b
2043,duplex,Germany,Düsseldorf,,71,3,4,16,1953,590097,2020-08-16,Good,Central,YES,b
1452, studio,Belgium,Brussels,Historic,77,5,4,10,2007,568827,2023-06-05,,gas,YES,A
2967,apartment,Netherlands,Groningen,,335,6,4,13,1975,1470240,2019-09-01,Old,Solar,no,D
1519,apartment,Belgium,Liège,Suburbs,186,8,3,6,1970,1221212,2021-09-29,Good,CENTRAL,no,B
1905, studio,Germany,Frankfurt,Industrial,184,8,4,16,2021,1023060,2018-07-20,Renovated,Solar,No,F
2293, studio,Germany,Berlin,,236,1,1,8,,1677335,2022-12-03,New,Solar,no,G
1663,APT,Spain,Malaga,Suburbs,104,5,1,5,1991,1167866,04-28-2022,Renovated,Electric,YES,a
1451,APT,Italy,Rome,SUBURBS,54,8,2,1,1972,926943,2020-08-07,Old,gas,NO,a
1082,apartment,Spain,Barcelona,city center,300,4,2,10,1971,1841987,2023-10-04,,electric,no,A
2785,Villa ,Portugal,Porto,city center,321,,1,16,1978,1768486,2018-02-09,Renovated,Electric,Yes,a
1169, studio,Spain,Bilbao,City Center,96,3,2,19,1996,27,2022-08-11,,Gas,yes,c
1604,Villa ,Germany,Berlin,Industrial,,7,1,10,2012,360730,2018/11/12,New,Electric,1,a
2584,house,Netherlands,Eindhoven,Industrial,362,1,4,0,1974,1693820,2019-08-12,,electric,No,F
2716,Villa ,Switzerland,Zurich,Industrial,165,2,1,20,1993,812791,2021-12-07,New,Gas,YES,E
2239,VILLA,Belgium,Ghent,Historic,363,5,4,7,2013,342,2022-11-28,Good,Solar,no,F
1675,duplex,Germany,Düsseldorf,Industrial,146,1,3,8,1983,297,2022-12-03,New,Gas,Yes,F
2098,duplex,Portugal,Braga,city center,124,1,1,10,1999,1364924,2022-04-10,,Solar,No,D
2721,APT,Germany,Hamburg,Suburbs,95,1,1,11,2003,269487,2023-07-17,Renovated,Solar,YES,D
1781,APT,France,Strasbourg,SUBURBS,152,8,1,20,2010,1383919,2018-07-24,Good,electric,yes,c
1053,HOUSE,Netherlands,Eindhoven,Residential,178,8,4,1,1954,823298,2018-06-18,Good,CENTRAL,1,a
1491,VILLA,Belgium,Ghent,Industrial,284,7,4,11,1971,1400254,2019-12-20,New,CENTRAL,YES,E
1087,VILLA,Portugal,Coimbra,,88,7,2,6,,742611,2024-10-05,,Solar,1,D
1360,APT,Spain,Bilbao,Suburbs,375,3,2,20,1959,1586530,11.03.2024,Good,Electric,no,B
1661,VILLA,Germany,Düsseldorf,,274,3,,16,1990,1259646,12/04/2023,Renovated,gas,,b
1055,Villa ,Belgium,Ghent,Historic,190,2,2,9,1994,1425846,2023-11-27,,CENTRAL,Yes,F
1864,VILLA,Italy,Venice,city center,263,1,4,8,1953,408,2020-11-29,,Gas,1,D
2290,Villa ,Netherlands,Utrecht,SUBURBS,386,,3,0,2019,865078,08/11/2018,Renovated,Electric,,F
2651,Penthouse,France,Nantes,,88,1,3,12,1978,1742544,2018-05-21,,Central,YES,F
1867,VILLA,Belgium,Antwerp,Residential,210,2,3,17,1984,897560 EUR,2020-01-04,Old,Central,No,E
2129,apartment,Netherlands,Amsterdam,SUBURBS,103,2,3,2,1956,365709,2018-02-18,,electric,No,
1490,Penthouse,Italy,Bologna,City Center,385,5,3,18,1970,1379373,2020-11-19,Good,,yes,b
1644, studio,Netherlands,The Hague,Residential,264,3,4,6,1955,540203 EUR,2023-09-10,New,,no,b
2033,Villa ,,Ghent,Historic,287,8,4,20,1994,1021097 EUR,2021-10-24,,gas,Yes,
2819,Penthouse,Italy,Naples,City Center,,2,4,20,1968,474300,2020-10-13,New,,0,c
1759, studio,Germany,Leipzig,SUBURBS,378,4,2,9,1950,812504 EUR,2018-12-23,Old,gas,No,A
2622,duplex,Germany,Stuttgart,Residential,39,2,3,17,1981,1484315,2021-06-29,,Central,Yes,
1898,house,France,Bordeaux,Residential,43,2,4,,,377314 EUR,2018-09-26,,Gas,,a
2026,apartment,,Paris,Residential,289,,1,14,2020,1142702,2020-08-02,New,CENTRAL,0,b
2230,Penthouse,Germany,Leipzig,,359,2,2,12,1982,1928655,2020-09-19,Renovated,gas,No,B
2529,APT,,Marseille,SUBURBS,23,5,4,20,1952,267902,2019-07-04,New,gas,,c
1383,APT,,Lisbon,Industrial,289,4,1,11,1980,56010,2019-07-25,,gas,YES,D
1999, studio,Netherlands,Groningen,Suburbs,89,4,1,20,,383,2022-12-24,Renovated,CENTRAL,YES,c
2000,house,Spain,Alicante,Industrial,239,7,4,1,1993,772680,11.11.2023,New,Central,yes,C
1090,Villa ,Germany,Leipzig,Historic,9999,1,1,1,,1652934,20.11.2023,,gas,Yes,A
